"Business Name","Category","Area","Address","Phone Number","Website","Google Rating","Review Count","Google Maps URL","Email","Email Source","Lead Score"
"Lady Bird Dental","Dental clinic","Austin","3115 S Lamar Blvd, Austin, TX 78704","	5128120036","https://ladybirddental.com/","4.9","444","https://www.google.com/maps/search/?api=1&query=Lady%20Bird%20Dental&query_place_id=ChIJHaEzAeC1RIYRxdRM0DnrS64","info@ladybirddental.com","website scrape","99"
"Advanced Dental Care of Austin","Dentist","Austin","6500 McNeil Dr Bldg 1, Austin, TX 78729","	5129603215","https://www.advanceddentalcareofaustin.com/?utm_campaign=gmb","4.8","568","https://www.google.com/maps/search/?api=1&query=Advanced%20Dental%20Care%20of%20Austin&query_place_id=ChIJv6KPyRzNRIYR4rRBnjFt0Q8","hhatfield@adcatx.com","website scrape","99"
"Aloha Dental","Dental clinic","Austin","1614 E Riverside Dr, Austin, TX 78741","	5127077300","https://www.aloha-dental.com/","4.6","655","https://www.google.com/maps/search/?api=1&query=Aloha%20Dental&query_place_id=ChIJMbq0xFG0RIYRh21ETz1YA1E","webreporting@gargle.com","website scrape","99"
"Daybreak Dental","Dental clinic","Austin","3801 S Congress Ave #106, Austin, TX 78704","	7372605087","https://www.daybreakdentalcare.com/?utm_source=gmb&utm_medium=organic=GMB","4.9","425","https://www.google.com/maps/search/?api=1&query=Daybreak%20Dental&query_place_id=ChIJD7Z-jZS0RIYR3wcrCYtrR5c","admin@daybreakdentalcare.com","website scrape","99"
"Aqua Dental","Dentist","Austin","811 E 32nd St, Austin, TX 78705","	5126436571","http://aquadentalaustin.com/","4.8","314","https://www.google.com/maps/search/?api=1&query=Aqua%20Dental&query_place_id=ChIJmf-tAY-1RIYRv4p-5gxRMTk","youremail@gmail.com","website scrape","97"
"The Dental Centre","Dentist","Austin","4301 W William Cannon Dr # 240, Austin, TX 78749","	5128927800","https://www.dentalcentreaustin.com/","4.8","294","https://www.google.com/maps/search/?api=1&query=The%20Dental%20Centre&query_place_id=ChIJuzq2ZpdLW4YRiJYW1iEBOoE","care@dentalcentreaustin.com","website scrape","97"
"ATX Dental Studio","Dentist","Austin","711 W 38th St Ste B-10, Austin, TX 78705","	5124545825","https://www.atxdentalstudio.com/","4.8","254","https://www.google.com/maps/search/?api=1&query=ATX%20Dental%20Studio&query_place_id=ChIJUWpYEH7KRIYRhqbwfts5eS4","patientcare@atxdentalstudio.com","website scrape","96"
"Shoal Creek Dental Care","Dental clinic","Austin","8015 Shoal Creek Blvd #120, Austin, TX 78757","	5124538181","https://www.shoalcreekdentalclinicaustin.com/","4.8","215","https://www.google.com/maps/search/?api=1&query=Shoal%20Creek%20Dental%20Care&query_place_id=ChIJT59X76DLRIYRag9005DFcfE","hello@shoalcreekdental.com","website scrape","95"
"Avenue Dental of South Austin","Dental clinic","Austin","2712 Bee Caves Rd Ste 100, Austin, TX 78746","	5123299900","https://www.myavenuedental.com/locations/south-austin/","4.9","175","https://www.google.com/maps/search/?api=1&query=Avenue%20Dental%20of%20South%20Austin&query_place_id=ChIJZTDVnt3RRIYRjmsENca7Txg","south@myavenuedental.com","website scrape","95"
"The Local Dentist","Dentist","Austin","2023 E Cesar Chavez St, Austin, TX 78702","	5128831300","http://www.thelocaldentistatx.com/","4.9","151","https://www.google.com/maps/search/?api=1&query=The%20Local%20Dentist&query_place_id=ChIJs3SsSj61RIYRh_hYkpYKT5M","user@domain.com","website scrape","95"
"Austin Dental Center, PC","Dental clinic","Austin","2304 Hancock Dr #1, Austin, TX 78756","	5122336645","https://www.smileaustin.com/","4.8","145","https://www.google.com/maps/search/?api=1&query=Austin%20Dental%20Center%2C%20PC&query_place_id=ChIJ74saePXKRIYR6KfRJiV3HJU","info@smileaustin.com","website scrape","94"
"East Austin Dental","Dentist","1000 E 5th St. Ste 110","Corazón, 1000 E 5th St. Ste 110, Austin, TX 78702","	5124990067","http://www.eastaustindental.com/","4.7","91","https://www.google.com/maps/search/?api=1&query=East%20Austin%20Dental&query_place_id=ChIJtZ6Dkq-1RIYRgNWUxzwnGek","eastaustindental@gmail.com","website scrape","91"
"Dr. Steven Pruce Emergency Dentist Austin 24 Hours","Dentist","Austin","1912 San Antonio St #22, Austin, TX 78705","	7377733535","https://www.emergencydentalservice.com/emergencydentist24-7/austin-tx-78705","5.0","3","https://www.google.com/maps/search/?api=1&query=Dr.%20Steven%20Pruce%20Emergency%20Dentist%20Austin%2024%20Hours&query_place_id=ChIJuT9MDLG1RIYRxedoI21Ay3Q","eds-logo-header@2x.webp","website scrape","81"
"Manos De Cristo Dental Center","Dentist","Austin","4911 Harmon Ave, Austin, TX 78751","	5124772319","http://www.manosdecristo.org/","3.3","45","https://www.google.com/maps/search/?api=1&query=Manos%20De%20Cristo%20Dental%20Center&query_place_id=ChIJqbhkca61RIYRCZbd7mCcdKY","jballesteros@manosdecristo.org","website scrape","80"
"Tech Ridge Dental","Dental clinic","Austin","12400 N Interstate Hwy 35 Ste A131, Austin, TX 78753","	5128212394","http://www.techridgedental.com/","5.0","1158","https://www.google.com/maps/search/?api=1&query=Tech%20Ridge%20Dental&query_place_id=ChIJg6Z3MsjORIYRZh2Pk4RntBw","","not found","78"
"myDental at Tech Ridge","Dental clinic","Austin","13000 N Interstate Hwy 35 Ste 206, Austin, TX 78753","	5128152524","https://www.mydental.com/locations/tech-ridge/?utm_source=google&utm_medium=organic&utm_campaign=gbp","4.8","1481","https://www.google.com/maps/search/?api=1&query=myDental%20at%20Tech%20Ridge&query_place_id=ChIJofuRUsfORIYRJcKoVqGeGa0","","not found","78"
"myDental at Norwood Park","Dental clinic","Austin","1045 Norwood Park Blvd Ste 103, Austin, TX 78753","	5128153520","https://www.mydental.com/locations/norwood-park/?utm_source=google&utm_medium=organic&utm_campaign=gbp","4.9","1300","https://www.google.com/maps/search/?api=1&query=myDental%20at%20Norwood%20Park&query_place_id=ChIJS15_3IXJRIYR3uW4FbYhdSg","","not found","78"
"Swish Dental - Domain","Dental clinic","Austin","3310 W Braker Ln #100, Austin, TX 78758","	5126170110","https://www.swishsmiles.com/location/domain-north-austin-dentist","4.7","1616","https://www.google.com/maps/search/?api=1&query=Swish%20Dental%20-%20Domain&query_place_id=ChIJl6T2cnbMRIYR7eD538S3oWU","","not found","78"
"Daylight Dental South Austin","Dental clinic","Austin","6501 S Congress Ave Ste 2-201, Austin, TX 78745","	5125488584","https://www.daylightdental.com/","4.8","1076","https://www.google.com/maps/search/?api=1&query=Daylight%20Dental%20South%20Austin&query_place_id=ChIJl07iqFGzRIYRSEcBlZLxu08","","not found","77"
"Breeze Dental","Dental clinic","Austin","1601 S Lamar Blvd, Austin, TX 78704","	5127458825","https://www.breezeoralcare.com/","4.8","850","https://www.google.com/maps/search/?api=1&query=Breeze%20Dental&query_place_id=ChIJrTahjN-0RIYRchMKUA6urbg","","not found","76"
"38th Street Dental","Dental clinic","Austin","1500 W 38th St Ste 56, Austin, TX 78731","	7372605523","https://www.myaustindds.com/","5.0","715","https://www.google.com/maps/search/?api=1&query=38th%20Street%20Dental&query_place_id=ChIJe5fsvYXKRIYRwmoXXLCat2Q","","not found","76"
"Swish Dental South","Dental clinic","Austin","3715 S 1st St Ste b, Austin, TX 78704","	5122962841","https://www.swishsmiles.com/location/south-1st-downtown-austin-swish-dental","4.7","931","https://www.google.com/maps/search/?api=1&query=Swish%20Dental%20South&query_place_id=ChIJiX0yg8C0RIYRlvZnU-D_-DY","","not found","76"
"Swish Dental Downtown","Dental clinic","Austin","201 W 5th St Ste 175, Austin, TX 78701","	5127131099","https://www.swishsmiles.com/location/downtown","4.6","926","https://www.google.com/maps/search/?api=1&query=Swish%20Dental%20Downtown&query_place_id=ChIJdWgENLS1RIYReos4IrRuTmQ","","not found","75"
"South Austin Dental Associates","Dentist","Austin","4419 Frontier Trail #104, Austin, TX 78745","	5124441133","https://southaustindentalassociates.com/?utm_source=GBP&utm_medium=organic&utm_campaign=offsiteSEO","4.9","636","https://www.google.com/maps/search/?api=1&query=South%20Austin%20Dental%20Associates&query_place_id=ChIJR2MZPDdLW4YRZGVrXbVX_7A","","not found","75"
"Dr. Omar Elfiky Emergency Dentist Austin 24 Hours","Dentist","Austin","3050 Guadalupe St #13, Austin, TX 78705","	7377733535","https://www.emergencydentalservice.com/emergencydentist24-7/austin-tx-78705","4.0","4","https://www.google.com/maps/search/?api=1&query=Dr.%20Omar%20Elfiky%20Emergency%20Dentist%20Austin%2024%20Hours&query_place_id=ChIJZUVfXqK1RIYRB5BjDdUqkCU","eds-logo-header@2x.webp","website scrape","75"
"River Rock Dental Austin - Mueller","Dental clinic","Austin","1801 E 51st St Ste 390, Austin, TX 78723","	5126695147","https://riverrockdentalfamily.com/locations/mueller/?utm_source=google.com&utm_medium=business+profile&utm_campaign=","4.7","745","https://www.google.com/maps/search/?api=1&query=River%20Rock%20Dental%20Austin%20-%20Mueller&query_place_id=ChIJy-1i-_-1RIYRDV-W2x8zOdM","","not found","75"
"North Austin Dentistry","Dental clinic","Austin","6850 Austin Center Blvd #310, Austin, TX 78731","	5124899933","https://northaustindentist.com/","4.8","699","https://www.google.com/maps/search/?api=1&query=North%20Austin%20Dentistry&query_place_id=ChIJUfYH2QLLRIYR9a_qLP46DcY","","not found","75"
"High Point Dentistry","Dental clinic","Austin","2719 E 7th St, Austin, TX 78702","	5124738444","https://highpointsmilestx.com/dentist-in-east-austin/","4.9","580","https://www.google.com/maps/search/?api=1&query=High%20Point%20Dentistry&query_place_id=ChIJVVnD1821RIYRQKiM1n7ZYsE","","not found","75"
"Hapii Dental Austin","Dentist","Austin","9300 N Lamar Blvd Ste A, Austin, TX 78753","	5122999996","https://www.hapiidental.com/","4.9","616","https://www.google.com/maps/search/?api=1&query=Hapii%20Dental%20Austin&query_place_id=ChIJE96PhNjLRIYRyWJlXsB-M5s","","not found","75"
"Austin Primary Dental","Dental clinic","Austin","6700 West Gate Blvd Ste 103, Austin, TX 78745","	5128085651","https://austinprimarydental.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website","4.9","365","https://www.google.com/maps/search/?api=1&query=Austin%20Primary%20Dental&query_place_id=ChIJL9iLaGRLW4YRG9VTvQufW1o","","not found","73"
"River Rock Dental Austin - East Riverside","Dental clinic","Austin","4410 E Riverside Dr #150, Austin, TX 78741","	5126695049","https://riverrockdentalfamily.com/locations/river-rock-east-riverside/?utm_source=google.com&utm_medium=business+profile&utm_campaign=","4.6","562","https://www.google.com/maps/search/?api=1&query=River%20Rock%20Dental%20Austin%20-%20East%20Riverside&query_place_id=ChIJwd0CVUC0RIYRECf0q-aVEkA","","not found","73"
"Austin Family Dentist","Dental clinic","Austin","3508 Far W Blvd #310, Austin, TX 78731","	5123465738","http://austinfamilydentist.com/","4.9","384","https://www.google.com/maps/search/?api=1&query=Austin%20Family%20Dentist&query_place_id=ChIJy-BYJgXLRIYRq1f5N4deN38","","not found","73"
"Greenbelt Dental Health","Dental clinic","Austin","1301 W 25th St, Austin, TX 78705","	5124723565","http://greenbeltdentalhealth.com/","5.0","244","https://www.google.com/maps/search/?api=1&query=Greenbelt%20Dental%20Health&query_place_id=ChIJxc4xlLi1RIYRV2_L5HQQ9zE","","not found","72"
"Austin Dental Care: Glen Wainwright, DDS","Dentist","Austin","300 Beardsley Ln Bldg A - Suite 101, Austin, TX 78746","	5123300255","https://www.austindentalcare.com/","4.9","236","https://www.google.com/maps/search/?api=1&query=Austin%20Dental%20Care%3A%20Glen%20Wainwright%2C%20DDS&query_place_id=ChIJ65M-r-s1W4YRNcb8OfkpMv0","","not found","71"
"South Austin Dentist","Dentist","Austin","3901 S Lamar Blvd Ste 480, Austin, TX 78704","	7374373801","http://southaustindentist.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing","4.9","162","https://www.google.com/maps/search/?api=1&query=South%20Austin%20Dentist&query_place_id=ChIJf5afhV5LW4YRy--94BL_3jg","","not found","70"
"Treaty Oak Dental","Dental clinic","Austin","2905 San Gabriel St #202, Austin, TX 78705","	5124784411","https://treatyoakdental.com/","4.9","170","https://www.google.com/maps/search/?api=1&query=Treaty%20Oak%20Dental&query_place_id=ChIJRRBY-XS1RIYRIsb3UXu9kfw","","not found","70"
"Access Dental","Dentist","Austin","1923 E 7th St #120, Austin, TX 78702","	5122369300","https://accessdentalclinics.com/locations/texas/austin-tx-on-east-7th-st/","3.8","319","https://www.google.com/maps/search/?api=1&query=Access%20Dental&query_place_id=ChIJwa2sN7a1RIYRXCRc5E-RmZQ","","not found","66"
"Groovy Dental","Dentist","Austin","8701 West Parmer Lane Suite 1124, Austin, TX 78729","	7372386593","","4.9","621","https://www.google.com/maps/search/?api=1&query=Groovy%20Dental&query_place_id=ChIJCdWCHGXNRIYR5-ozaW_Bv4o","","not found","55"
"Define Dentistry of Austin","Dentist","Austin","8745 North Lamar Boulevard, Austin, TX 78753","	5128326395","","5.0","61","https://www.google.com/maps/search/?api=1&query=Define%20Dentistry%20of%20Austin&query_place_id=ChIJ22fDYfXLRIYRoLdGZ3lhubE","","not found","47"
